R,delta_K,crack_growth_rate
0,3.31514,5.04E-07
0,3.36765,8.93E-07
0,3.44451,1.01E-06
0,3.52313,1.19E-06
0,3.61371,1.73E-06
0,3.73211,1.96E-06
0,3.82807,2.48E-06
0,4.21508,2.90E-06
0,5.04294,3.94E-06
0,5.58644,4.97E-06
0,6.01397,5.84E-06
0,6.23106,7.77E-06
0,6.9249,9.97E-06
0,7.08295,1.45E-05
0,7.97381,2.53E-05
0,8.36549,4.03E-05
0,9.23726,5.86E-05
0,10.23693,9.83E-05
0,11.30371,1.71E-04
0,11.85897,1.97E-04
0,12.84911,3.63E-04
0.1,2.91642,7.61E-07
0.1,2.96381,1.15E-06
0.1,3.11944,1.73E-06
0.1,3.28324,1.89E-06
0.1,3.42238,2.43E-06
0.1,3.80346,2.80E-06
0.1,4.13434,3.94E-06
0.1,4.5085,4.88E-06
0.1,5.32488,5.74E-06
0.1,6.03339,7.91E-06
0.1,6.1117,9.80E-06
0.1,6.53714,1.48E-05
0.1,6.81418,1.97E-05
0.1,7.21837,2.97E-05
0.1,7.5974,3.88E-05
0.1,7.92256,5.76E-05
0.1,8.25831,7.66E-05
0.1,8.77642,9.65E-05
0.1,9.06396,1.13E-04
0.1,9.78518,1.74E-04
0.1,10.60218,1.90E-04
0.1,11.45042,2.87E-04
0.3,2.27351,5.41E-07
0.3,2.27351,8.93E-07
0.3,2.3689,1.62E-06
0.3,2.59163,1.85E-06
0.3,2.9662,2.32E-06
0.3,3.50754,2.73E-06
0.3,3.80653,3.67E-06
0.3,4.26807,4.61E-06
0.3,4.82623,5.54E-06
0.3,5.04904,7.28E-06
0.3,5.19558,9.14E-06
0.3,5.52376,1.41E-05
0.3,5.9465,2.33E-05
0.3,6.17109,3.75E-05
0.3,6.57942,4.72E-05
0.3,6.94726,6.75E-05
0.3,7.45486,9.14E-05
0.3,7.99955,1.08E-04
0.3,8.94783,1.65E-04
0.3,9.23726,1.87E-04
0.5,2.25526,1.73E-06
0.5,2.34894,1.89E-06
0.5,2.68843,2.44E-06
0.5,3.02779,2.92E-06
0.5,3.58037,3.93E-06
0.5,3.98708,4.74E-06
0.5,4.0995,5.80E-06
0.5,4.47772,7.93E-06
0.5,4.64309,9.69E-06
0.5,4.95032,1.45E-05
0.5,5.19349,1.98E-05
0.5,5.36364,3.03E-05
0.5,6.09202,5.45E-05
0.5,6.49513,9.83E-05
